title;category;price;brand;specification;query;original_price;original_price_checked;capacity;shelf_life;order;Discount;Promo;item_code;item_code_resolution_status;master_candidate_count;order_supported_master_candidates;capacity_unit;pieces_per_package;package_unit;price_per_piece;original_price_per_piece;estimation_discount;capacity_category;shelf_life_unit;discount_numeric;promo_numeric;carton_length_cm;carton_width_cm;carton_height_cm;carton_weight;units_per_carton;inventory_quantity
日本牛乳石鹼牛乳香皂3入裝(茉莉清爽);美妝個清;102,0;牛乳石鹼;規格：85g克x3x1SET組;牛乳石鹼牛乳香皂(藍盒);110,0;1;85,0;60,0;2781;7.27%;1;12010074001;unique_master_match;1;1;g;3;set;34,0;36,666667;7,272727;weight;month;7,27;1,0;35,0;23,0;27,0;5,5;18,0;95,0
澳洲NATM精油香皂-薰衣草;美妝個清;59,0;NATM;規格：200g克x1x1PC塊;澳洲NATM精油香皂-薰衣草;79,0;1;200,0;36,0;2782;25.32%;1;12010077001;unique_master_match;1;1;g;1;pc;59,0;79,0;25,316456;weight;month;25,32;1,0;15,0;11,0;13,0;1,64;8,0;8,0
澳洲NATM精油香皂-海鹽;美妝個清;59,0;NATM;規格：200g克x1x1PC塊;澳洲NATM精油香皂-海鹽;79,0;1;200,0;36,0;2783;25.32%;0;12010079001;unique_master_match;1;1;g;1;pc;59,0;79,0;25,316456;weight;month;25,32;0,0;15,0;11,0;13,0;1,64;8,0;16,0
麗仕煥活香氛皂煥活冰爽;美妝個清;109,0;Lux麗仕;規格：80g克x6x1SET組;麗仕煥活香氛皂-煥活冰爽;0,0;1;80,0;36,0;2784;0.00%;1;12010080001;unique_master_match;1;1;g;6;set;18,166667;0,0;0,0;weight;month;0,0;1,0;36,0;23,0;25,0;12,14;144,0;1692,0
澳洲NATM精油香皂-檸檬香桃木油及葉片;美妝個清;59,0;NATM;規格：200g克x1x1PC塊;澳洲NATM精油香皂-檸檬草;79,0;1;200,0;36,0;2787;25.32%;0;12010084001;unique_master_match;1;1;g;1;pc;59,0;79,0;25,316456;weight;month;25,32;0,0;15,0;11,0;13,0;1,64;8,0;16,0
麗仕柔膚香氛皂水嫩柔膚;美妝個清;109,0;Lux麗仕;規格：80g克x6x1SET組;家福玫瑰香氛精油皂;0,0;1;80,0;36,0;2798;0.00%;0;12010106001;unique_master_match;1;1;g;6;set;18,166667;0,0;0,0;weight;month;0,0;0,0;30,0;19,0;18,0;5,96;60,0;234,0
依必朗抗菌洗手露-胺基酸;美妝個清;119,0;依必朗;規格：630g克x1x1PC瓶;依必朗抗菌洗手露;0,0;1;630,0;36,0;2805;0.00%;1;12010110001;ambiguous_master_match_resolved_with_order_history;2;2;g;1;pc;119,0;0,0;0,0;weight;month;0,0;1,0;27,0;26,0;23,0;8,67;12,0;685,666667
綠的抗菌皂-茶樹清香-100g;美妝個清;80,0;綠的;規格：100g克x1x3PC個;綠的抗菌皂-茶樹清香;96,0;1;100,0;60,0;2814;16.67%;1;12010144001;unique_master_match;1;1;g;3;pc;26,666667;32,0;16,666667;weight;month;16,67;1,0;42,0;29,0;26,0;13,13;144,0;395,0
美琪抗菌皂茶樹6入裝;美妝個清;129,0;美琪;規格：100g克x6x1SET組;美琪抗菌皂茶樹6入裝 美琪茶樹皂6入;150,0;1;100,0;60,0;2815;14.00%;1;12010145001;unique_master_match;1;1;g;6;set;21,5;25,0;14,0;weight;month;14,0;1,0;39,0;31,0;24,0;15,78;24,0;48,0
臺灣茶摳-鳶尾花潤澤滋養皂;美妝個清;115,0;臺灣茶摳;規格：110g克x3x1PC盒;臺灣茶摳-鳶尾花潤澤滋養皂 鳶尾花潤澤;129,0;1;110,0;60,0;2816;10.85%;1;12010147001;unique_master_match;1;1;g;3;pc;38,333333;43,0;10,852713;weight;month;10,85;1,0;35,0;23,0;12,0;4,64;12,0;24,0
