item_code;minimum_inventory;minimum_inventory_ceiling
11072001001;53;53
11072004001;8;8
11072005001;4;4
11072008001;23;23
11072011001;48;48
11072012002;53;53
11072013001;4;4
11072017001;12;12
11072019001;4;4
11072036001;54;54
11072897001;26;26
11072902001;61;61
11072903001;11;11
11072905001;19;19
11072906001;4;4
11073001001;4;4
11073002001;26;26
11073006001;24;24
11073012001;16;16
11073025001;8;8
11073032001;8;8
11073039001;4;4
11073899001;8;8
11073900001;12;12
11073901001;4;4
11073902001;20;20
11073905001;4;4
11073907001;15;15
11074001001;4;4
11074003001;28;28
11074005001;30;30
11074007001;22;22
11074012001;4;4
11074015002;23;23
11074018001;19;19
11074019001;12;12
11074020001;24;24
11074022001;40;40
11074027001;4;4
11074031001;19;19
11074045002;4;4
11074046001;4;4
11074047001;12;12
11074048001;27;27
11074059001;16;16
11074060005;35;35
11075001001;33;33
11075002001;27;27
11075003001;43;43
11075004001;40;40
11075006001;4;4
11075013001;26;26
11075039001;4;4
11076883001;4;4
11076886001;4;4
11076890001;23;23
11076896001;9;9
11076928001;12;12
11100001001;70;70
11100003001;36;36
11100005001;14;14
11100007001;44;44
11100008001;26;26
11100010001;20;20
11100011001;22;22
11100015001;11;11
11100017001;19;19
11100018001;13;13
11100019001;12;12
11100021001;9;9
11100107001;32;32
11100108001;17;17
11100112001;15;15
11101002001;8;8
11101013001;4;4
11101014001;37;37
11101021001;35;35
11101023001;35;35
11101028001;45;45
11101029001;31;31
11101034001;51;51
11101036001;25;25
11101038001;39;39
11101039001;27;27
11101055001;34;34
11102002001;24;24
11102003001;32;32
11102004001;10;10
11102007001;8;8
11102012001;17;17
11102013001;10;10
11102014001;4;4
11102017001;20;20
11102043001;4;4
11103001001;38;38
11103002001;4;4
11103005001;44;44
11103007001;31;31
11103008001;22;22
11103011003;4;4
11103011004;4;4
11103015001;30;30
11103018001;29;29
11103019001;56;56
11103021001;46;46
11103022001;82;82
11103023001;28;28
11103027001;37;37
11103035001;19;19
11103039001;4;4
11103040001;4;4
11103045001;12;12
11103046001;31;31
11103047001;29;29
11103051001;33;33
11103052001;8;8
11103054001;34;34
11103058001;38;38
11103062001;14;14
11103065001;14;14
11103067001;15;15
11103068001;8;8
11103069001;25;25
11103070001;25;25
11103074001;35;35
11103076001;37;37
11103078001;12;12
11103084001;24;24
11103085001;25;25
11103086002;51;51
11103088001;26;26
11103090001;47;47
11103092001;51;51
11103094001;65;65
11103096001;45;45
11103098001;38;38
11103099001;14;14
11103100001;32;32
11103102002;22;22
11103106001;33;33
11103108001;27;27
11103110001;4;4
11103111001;15;15
11103112001;27;27
11103113001;12;12
11103114001;32;32
11103115001;20;20
11103118001;12;12
11103123001;4;4
11103128001;46;46
11103132001;14;14
11103134001;43;43
11103135001;47;47
11103136001;57;57
11103137001;147;147
11103155001;4;4
11103156001;24;24
11103157001;10;10
11103176001;18;18
11103187001;24;24
11103188001;12;12
11103188002;4;4
11103191001;4;4
11103196001;32;32
11103206001;4;4
11103211001;10;10
11103212001;4;4
11103220001;35;35
11103224001;26;26
11103233001;4;4
11103244002;20;20
11103256001;14;14
11103262001;17;17
11103270002;27;27
11103280001;14;14
11103283001;11;11
11103289001;29;29
11103296001;4;4
11103313001;32;32
11103314001;38;38
11103317001;44;44
11103321001;14;14
11103321002;9;9
11103322001;29;29
11103323001;12;12
11103346001;14;14
11103350001;4;4
11103354001;40;40
11103361001;20;20
11103365001;12;12
11103370001;15;15
11103375001;41;41
11103377001;4;4
11103380001;4;4
11103884002;4;4
11103884003;4;4
11104001001;4;4
11104005001;10;10
11104006001;16;16
11110006001;29;29
11110007001;31;31
11110013001;30;30
11110014001;4;4
11110016001;11;11
11110018001;16;16
11110026001;13;13
11110028001;11;11
11110029001;16;16
11110032001;16;16
11110065001;28;28
11110066001;33;33
11110077003;55;55
11110078003;22;22
11110082001;29;29
11110083001;13;13
11110085001;32;32
11110086001;10;10
11110088002;12;12
11110089001;18;18
11110090001;43;43
11110091001;28;28
11110093001;29;29
11110094001;10;10
11110095001;26;26
11111004001;50;50
11111007001;15;15
11111008001;17;17
11111011001;26;26
11111012001;17;17
11111013001;18;18
11111015001;16;16
11111017001;26;26
11111019001;17;17
11111021001;22;22
11111022001;16;16
11111023001;14;14
11111025001;21;21
11111030001;17;17
11111033001;27;27
11111037001;11;11
11111050001;26;26
11112001001;12;12
11112004001;9;9
11112005001;4;4
11112007001;30;30
11112008001;4;4
11112017001;4;4
12000011001;8;8
12000015001;8;8
12000016001;10;10
12000020001;4;4
12000042001;4;4
12000044001;4;4
12000045001;7;7
12000057001;4;4
12000059001;69;69
12000067001;25;25
12000075001;4;4
12000076001;15;15
12000080001;4;4
12000081001;18;18
12000089001;7;7
12000097001;10;10
12000101001;28;28
12000108001;8;8
12000125001;13;13
12000126001;4;4
12000128001;4;4
12000129001;9;9
12000135001;4;4
12000149001;8;8
12000150001;23;23
12000152001;17;17
12000163001;12;12
12000165001;4;4
12000169001;8;8
12000170001;9;9
12000178001;42;42
12000179001;67;67
12000182001;13;13
12000193001;4;4
12000196001;8;8
12000205001;25;25
12000206001;14;14
12000207001;4;4
12000208001;4;4
12000214001;8;8
12000217001;4;4
12000220001;4;4
12000221001;10;10
12000223001;10;10
12000224001;4;4
12000225001;4;4
12000226001;4;4
12000232001;4;4
12000241001;32;32
12000246001;12;12
12000261001;8;8
12000270001;4;4
12000275001;4;4
12000276001;4;4
12000285001;8;8
12000288001;4;4
12000295001;4;4
12000309001;4;4
12000314001;4;4
12000317001;13;13
12000319001;4;4
12000320001;4;4
12000350001;34;34
12000359001;54;54
12000366001;11;11
12000372001;4;4
12000374001;13;13
12000375001;10;10
12000377001;9;9
12000381001;4;4
12000396001;4;4
12000405001;4;4
12000425001;4;4
12000468001;4;4
12000469001;4;4
12000485001;4;4
12000494001;4;4
12000495001;4;4
12000496001;4;4
12000497001;4;4
12000498001;12;12
12000504001;8;8
12000505001;8;8
12001004001;12;12
12001018001;4;4
12001019001;9;9
12001026001;11;11
12001027001;4;4
12001029001;16;16
12001038001;33;33
12001041001;10;10
12001047001;17;17
12001049001;11;11
12001051001;34;34
12001055001;23;23
12001058001;4;4
12001063001;4;4
12001064001;4;4
12001065001;4;4
12001067001;14;14
12001070001;19;19
12001071001;4;4
12001076001;4;4
12001077001;4;4
12001087001;11;11
12001092001;4;4
12001093001;4;4
12001112001;22;22
12001999001;4;4
12002009001;4;4
12002013001;54;54
12002018001;4;4
12002023001;47;47
12002026001;4;4
12002036001;4;4
12002037001;4;4
12002042001;4;4
12002044001;17;17
12002052001;8;8
12002062001;48;48
12002084001;4;4
12002090001;4;4
12002096001;4;4
12002100001;4;4
12002104001;4;4
12002105001;11;11
12002106001;14;14
12002107001;8;8
12002114001;4;4
12002118001;4;4
12002119001;8;8
12002124001;4;4
12002158001;4;4
12002159001;4;4
12002948001;8;8
12002949001;52;52
12003006001;4;4
12003031001;4;4
12003046001;4;4
12003058001;8;8
12003069001;18;18
12003073001;4;4
12003084001;10;10
12003086001;40;40
12003090001;40;40
12003104001;4;4
12003111001;14;14
12003113001;4;4
12003115001;4;4
12003130001;18;18
12003134001;12;12
12003135001;12;12
12003911001;4;4
12004016001;79;79
12004020001;79;79
12004063001;4;4
12005003001;16;16
12005003002;38;38
12005003003;17;17
12005003004;44;44
12005003005;4;4
12005007001;4;4
12005009007;4;4
12005015001;4;4
12005015002;32;32
12005015003;8;8
12005015004;4;4
12005015006;4;4
12005015007;34;34
12005015008;4;4
12005015010;4;4
12005019001;14;14
12005019002;4;4
12005019003;4;4
12005019005;8;8
