item_code;minimum_inventory;inventory_basis_source;paired_historical_product;pre_t_order_count
11021071001;10;historical_empirical_quantile;;40
11021095001;53;random_allocation_historical_average_proxy;;1
11022001001;6;historical_empirical_quantile;;8
11022003001;5;historical_empirical_quantile;;5
11022007001;8;historical_empirical_quantile;;28
11022011001;6;historical_empirical_quantile;;5
11022012001;5;historical_empirical_quantile;;5
11022017001;2;historical_empirical_quantile;;8
11022021001;53;random_allocation_historical_average_proxy;;1
11022025001;3;historical_empirical_quantile;;19
11022031001;6;historical_empirical_quantile;;10
11022035001;1;historical_empirical_quantile;;4
11022036001;12;historical_empirical_quantile;;8
11022044001;6;historical_empirical_quantile;;3
11022051001;38;historical_empirical_quantile;;28
11022058001;53;random_allocation_historical_average_proxy;;1
11022059001;3;historical_empirical_quantile;;5
11022063001;3;historical_empirical_quantile;;6
11022067001;10;historical_empirical_quantile;;3
11022077001;53;random_allocation_historical_average_proxy;;1
11022082001;12;historical_empirical_quantile;;6
11022085001;6;historical_empirical_quantile;;4
11022087001;10;historical_empirical_quantile;;5
11023010001;18;historical_empirical_quantile;;11
11030010001;25;historical_empirical_quantile;;5
11030016001;1;historical_empirical_quantile;;3
11030018001;5;historical_empirical_quantile;;6
11030062001;5;historical_empirical_quantile;;2
11030066001;6;historical_empirical_quantile;;10
11030079001;4;historical_empirical_quantile;;2
11030095001;5;historical_empirical_quantile;;6
11030096001;2;historical_empirical_quantile;;2
11030097001;1;historical_empirical_quantile;;2
11030108001;1;historical_empirical_quantile;;2
11030128001;12;historical_empirical_quantile;;4
11030183002;4;historical_empirical_quantile;;4
11031011001;3;historical_empirical_quantile;;5
11031022001;4;historical_empirical_quantile;;4
11031040001;1;historical_empirical_quantile;;4
11031901001;1;historical_empirical_quantile;;2
11031907001;4;historical_empirical_quantile;;11
11031917001;2;historical_empirical_quantile;;5
11031918001;53;random_allocation_historical_average_proxy;;1
11032002001;72;historical_empirical_quantile;;15
11032003001;4;historical_empirical_quantile;;7
11032008001;30;historical_empirical_quantile;;6
